gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	rights	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1238755327	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11270060	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	, Oppdal, St	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.32126	9.55725	0.0	0.0			2015-04-15T00:00Z	15	4	2015	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11270060					Tord Bretten, Ingolf Røtvei			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238755610	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11270073	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	, Oppdal, St	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.36042	9.60852	0.0	0.0			2015-04-15T00:00Z	15	4	2015	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11270073					Tord Bretten, Ingolf Røtvei			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238755932	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11270078	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	, Oppdal, St	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.36955	9.57637	0.0	0.0			2015-04-15T00:00Z	15	4	2015	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11270078					Tord Bretten, Ingolf Røtvei			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238756073	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:12502325	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	N Vålåsjø ST, Dovre, Op	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.17573	9.43359	0.0	0.0			2015-05-19T00:00Z	19	5	2015	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	12502325					Tord Bretten, Håvard Rønning			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238756108	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:12713123	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Storsanviksætre, Dovre, Op	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.18228	9.46904	0.0	0.0			2015-06-18T00:00Z	18	6	2015	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	12713123					Tommy Sønsterud			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238756116	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:12499026	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Stølådalen, Oppdal, St	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.3741	9.6313	0.0	0.0			2015-05-14T00:00Z	14	5	2015	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	12499026					Ingolf Røtvei			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238756461	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:12515702	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Stølåkoll skogband, Oppdal, St	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.38354	9.6302	0.0	0.0			2015-05-20T00:00Z	20	5	2015	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	12515702					Tord Bretten, Håvard Rønning			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238756561	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11270083	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	, Dovre, Op	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.21864	9.32613	0.0	0.0			2015-04-15T00:00Z	15	4	2015	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11270083					Trond Toldnes, Tord Bretten			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238757022	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:12614928	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Geitberget, Dovre, Op	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.20955	9.55177	0.0	0.0			2015-06-03T00:00Z	3	6	2015	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	12614928					Tord Bretten, Ingolf Røtvei			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238757822	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11267119	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Hestbotten, Lesja, Op	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.28679	8.82011	0.0	0.0			2014-08-29T00:00Z	29	8	2014	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11267119					Tommy Sønsterud			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
